name,Super98,Super95,Diesel,PLZ,land,bundesland,bezirk,stadt,strasse,datum,zeit,coordinates_X,coordinates_Y
SB-Tankstelle Zauner,0,1.677,1.977,4761,at,Oberösterreich,Schärding,Enzenkirchen,Jagern 18,3.11.2022,10:9:25,13.63102,48.37648
"Kreupl, Freie Tankstelle",0,1.699,0,4676,at,Oberösterreich,Grieskirchen,Aistersheim,Aistersheim 38,3.11.2022,10:9:20,13.739677,48.187439
AVIA XPress (unser Service: Luft und Wasser),0,1.717,2.017,3650,at,Niederösterreich,Melk,Pöggstall,Tavernplatz 9a,3.11.2022,10:9:3,15.1978073,48.317241
LSC Wenzl GmbH,0,0,2.013,7122,at,Burgenland,Neusiedl am See,Gols,Hochäcker 7,3.11.2022,10:8:41,16.9235613,47.9056277
SB-Tankstelle Schmied im Wald,0,0,1.998,4723,at,Oberösterreich,Grieskirchen,Natternbach,Gschaid 8,3.11.2022,10:9:19,13.6922177,48.4039189
avanti - Oeynhausen Ebreichsdorfer Straße 28,0,1.723,2.009,2512,at,Niederösterreich,Baden,Oeynhausen,Ebreichsdorfer Strasse 28,3.11.2022,10:8:54,16.29075,47.98609
Turmöl Quick,0,1.748,2.033,2640,at,Niederösterreich,Neunkirchen,Gloggnitz,Wiener Straße 106,3.11.2022,10:9:6,15.9573163,47.6727758
Schaumberger GesmbH,0,0,2.027,4240,at,Oberösterreich,Freistadt,Freistadt,Froschau 10,3.11.2022,10:9:17,14.5043854,48.5140105
Turmöl Quick,0,0,2.034,2230,at,Niederösterreich,Gänserndorf,Gänserndorf,Wienerstraße 14,3.11.2022,10:8:56,16.711388,48.3350589
Turmöl Quick,0,1.714,2.018,4020,at,Oberösterreich,Linz Land,Linz,Goethestraße 40,3.11.2022,10:9:12,14.297791,48.297625
F. LEITNER,0,1.692,1.992,8055,at,Steiermark,Graz,Graz,Puntigamerstrasse 143,3.11.2022,10:9:35,15.440831497753061,47.03196415085483
Shell Austria,0,1.809,2.099,1190,at,Wien,Döbling,WIEN,GRINZINGERSTRASSE 137,3.11.2022,10:9:59,16.36399,48.25463
Lagerhaus-Genol,0,1.719,0,7161,at,Burgenland,Neusiedl am See,St Andrae,Rübenplatz 1,3.11.2022,10:8:41,16.9475997,47.7806754
Magistrat Stadt Villach,0,1.719,1.969,9500,at,Kärnten,Villach,Villach,St. Johanner Straße 20,3.11.2022,10:8:44,13.8330066,46.6113273
123tanken.at - Tankstellenbetriebs & Service GmbH,0,1.719,2.049,1020,at,Wien,Leopoldstadt,Wien,Rotensterngasse 25,3.11.2022,10:9:53,16.3844335,48.2172366
avanti - Griffen,0,1.689,1.989,9112,at,Kärnten,Völkermarkt,Griffen, 33,3.11.2022,10:8:49,14.72846,46.70256
OIL! Tankstelle,0,1.691,1.993,1100,at,Wien,Favoriten,Wien,Himberger Strasse 50,3.11.2022,10:9:55,16.3835,48.1365
Turmöl Quick,0,1.764,2.044,3943,at,Niederösterreich,Gmünd,Schrems,Gmünderstraße 28 ,3.11.2022,10:8:57,15.0628909,48.7929004
Treibstoffparadies,0,1.729,0,8160,at,Steiermark,Weiz,Greith b. Weiz,Untergreith Nr. 8a,3.11.2022,10:9:40,15.6345625,47.1919833
"PINK - so pink, so clever",0,1.698,1.998,4070,at,Oberösterreich,Eferding,Eferding,Karl-Schachinger-Straße 17,3.11.2022,10:9:17,14.015287,48.3001235
TURMÖL powered by boesch energy,0,1.657,1.967,1120,at,Wien,Meidling,Wien,Schoenbrunner Strasse 213,3.11.2022,10:9:56,16.33505,48.18452
AVIA XPress (unser Service: Luft und Wasser),0,1.764,2.044,3950,at,Niederösterreich,Gmünd,Gmünd,Schremser Straße 50,3.11.2022,10:8:57,14.9982722,48.7693868
GENOL-LAGERHAUS,0,1.739,0,4240,at,Oberösterreich,Freistadt,Freistadt,Scharizerstrasse 2,3.11.2022,10:9:18,14.5047,48.515211
AVIA Xpress (Automaten-Tankstelle),0,1.742,0,4931,at,Oberösterreich,Ried,Mettmach,Rieder Straße 17,3.11.2022,10:9:23,13.347336,48.172218
Turmöl Quick,0,1.754,0,5145,at,Oberösterreich,Braunau,Neukirchen/Enknach,Salzburgerstraße 14,3.11.2022,10:9:15,13.0508818,48.1787503
LMEnergy Express,0,1.77,2.06,6706,at,Vorarlberg,Bludenz,Bürs,Almteilweg 1,3.11.2022,10:9:49,9.810635,47.151467
Disk Tankautomat ,0,1.787,1.999,6555,at,Tirol,Landeck,Kappl,Lochau 378,3.11.2022,10:9:46,10.3807965,47.063014
Turmöl Quick,0,1.714,2.018,4020,at,Oberösterreich,Linz Land,Linz,Wienerstraße 238,3.11.2022,10:9:12,14.314689,48.27066
LKW - Genol Lagerhaus,0,0,1.999,4161,at,Oberösterreich,Rohrbach,Ulrichsberg,Dreisesselbergstrasse 19,3.11.2022,10:9:24,13.907774,48.6786932
AVIA,0,1.728,2.02,3910,at,Niederösterreich,Zwettl,Zwettl,Franz Eigl-Str. 7,3.11.2022,10:9:11,15.1854858,48.6028473
M3 TANKSTELLE PUCHBERG ,0,1.739,2.039,2734,at,Niederösterreich,Neunkirchen,PUCHBERG AM SCHNEEBERG,SCHNEEBERG 29,3.11.2022,10:9:5,15.9091111,47.7887601
SOCAR Kaindorf,0,0,1.993,8430,at,Steiermark,Leibnitz,Kaindorf,Grazer Straße 134,3.11.2022,10:9:35,15.538406,46.794066
Turmöl Quick,0,1.717,2.007,7151,at,Burgenland,Neusiedl am See,Wallern,Bahnstraße 15,3.11.2022,10:8:41,16.9349372,47.725795
 Dieseltankstelle   Silo- Melmer,0,0,2.019,6460,at,Tirol,Imst,Imst,Industriezone 60,3.11.2022,10:9:42,10.7262341,47.2183541
IQ-Tankstelle Seiwald,0,1.779,2.079,9640,at,Kärnten,Hermagor,Kötschach-Mauthen,Mauthen 264,3.11.2022,10:8:45,12.9976327,46.6656107
LKW - Tankstelle,0,0,1.999,4164,at,Oberösterreich,Rohrbach,Schwarzenberg,Schwarzenberg 168,3.11.2022,10:9:24,13.8195391,48.7363868
NNB BRUNNENTANKSTELLE,0,0,1.998,1160,at,Wien,Ottakring,WIEN,Brunnengasse 4,3.11.2022,10:9:58,16.334813,48.20462
Disk TANKAUTOMAT,0,1.789,2.019,6424,at,Tirol,Innsbruck Land,Silz,Tirolerstraße 14,3.11.2022,10:9:42,10.9373833,47.2687587
